original_query,hour_of_day,month,week,day,hour,day_of_week,month_of_year,total_searches
spare parts,19,2020-03,2020-W10,2020-03-04,2020-03-04 19:00:00,Wednesday,March,1
landing gear,23,2020-03,2020-W09,2020-03-01,2020-03-01 23:00:00,Sunday,March,1
video drone al,18,2020-03,2020-W10,2020-03-06,2020-03-06 18:00:00,Friday,March,1
battery,17,2020-03,2020-W10,2020-03-02,2020-03-02 17:00:00,Monday,March,1
gear,2,2020-03,2020-W10,2020-03-02,2020-03-02 02:00:00,Monday,March,1
director,16,2020-03,2020-W10,2020-03-06,2020-03-06 16:00:00,Friday,March,1
protocol oceana,14,2020-02,2020-W09,2020-02-29,2020-02-29 14:00:00,Saturday,February,1
protocol kapture gps 2,4,2020-02,2020-W09,2020-02-29,2020-02-29 04:00:00,Saturday,February,1
50 off all spare parts,4,2020-02,2020-W09,2020-02-29,2020-02-29 04:00:00,Saturday,February,1
video drone,18,2020-03,2020-W10,2020-03-06,2020-03-06 18:00:00,Friday,March,1
contact protocol,9,2020-03,2020-W10,2020-03-06,2020-03-06 09:00:00,Friday,March,1
apps,23,2020-02,2020-W09,2020-02-29,2020-02-29 23:00:00,Saturday,February,1
sync,20,2020-03,2020-W10,2020-03-03,2020-03-03 20:00:00,Tuesday,March,1
slipstream s battery,8,2020-02,2020-W09,2020-02-29,2020-02-29 08:00:00,Saturday,February,1
app,15,2020-03,2020-W10,2020-03-02,2020-03-02 15:00:00,Monday,March,1
07a18,12,2020-02,2020-W09,2020-02-29,2020-02-29 12:00:00,Saturday,February,1
predator sb,23,2020-02,2020-W09,2020-02-29,2020-02-29 23:00:00,Saturday,February,1
galileo with wifi,19,2020-03,2020-W10,2020-03-04,2020-03-04 19:00:00,Wednesday,March,1
battery,19,2020-03,2020-W10,2020-03-05,2020-03-05 19:00:00,Thursday,March,1
phone,9,2020-03,2020-W10,2020-03-06,2020-03-06 09:00:00,Friday,March,1
how do you change blades,15,2020-03,2020-W09,2020-03-01,2020-03-01 15:00:00,Sunday,March,1
air vert 1 spare parts,8,2020-03,2020-W09,2020-03-01,2020-03-01 08:00:00,Sunday,March,1
replacement gears for the kaptur gps 2,8,2020-03,2020-W09,2020-03-01,2020-03-01 08:00:00,Sunday,March,1
